   0.0000000e+00   4.5907773e-03   1.3111875e-03   6.0965048e-04   2.2836975e-04   3.1019850e-04   1.8722804e-04
   5.0000000e-02   1.7257638e-02   1.6939850e-03   1.7240434e-03   2.1959662e-03   1.5966800e-03   4.0296256e-03
   1.0000000e-01   6.4204533e-02   6.4591565e-03   5.2508421e-03   1.4440561e-03   2.8356641e-03   4.5406742e-03
   1.5000000e-01   8.8436794e-02   1.1183419e-02   6.1915209e-03   1.8044125e-03   1.8024381e-03   3.2214001e-03
   2.0000000e-01   1.3553151e-01   2.4574549e-02   1.6819478e-02   3.9235135e-03   2.9612059e-03   5.2526434e-03
   2.5000000e-01   1.4445504e-01   3.3399918e-02   2.6412902e-02   4.6253972e-03   3.4178903e-03   4.1393854e-03
   3.0000000e-01   1.5292895e-01   6.6306678e-02   2.9808817e-02   6.5450043e-03   4.7523738e-03   2.2512581e-03
   3.5000000e-01   1.3345582e-01   8.8335074e-02   2.9604378e-02   4.3514700e-03   4.5386486e-03   3.8489532e-03
   4.0000000e-01   1.0349512e-01   1.4919854e-01   5.1784427e-02   3.6361994e-03   4.7500027e-03   3.3906556e-03
   4.5000000e-01   4.7123188e-02   2.0050051e-01   7.3642555e-02   5.7583344e-03   5.0583524e-03   2.8011856e-03
   5.0000000e-01   4.0125676e-02   1.8290049e-01   1.0819864e-01   1.0989883e-02   7.6247231e-03   3.4036659e-03
   5.5000000e-01   2.3410042e-02   1.2477285e-01   1.5368411e-01   2.9796878e-02   1.1043736e-02   6.6291206e-03
   6.0000000e-01   1.5722520e-02   6.3587098e-02   1.9589727e-01   6.3543115e-02   1.8434846e-02   7.9702677e-03
   6.5000000e-01   9.3648873e-03   2.0833844e-02   1.4600856e-01   1.1776696e-01   3.2264909e-02   1.4327451e-02
   7.0000000e-01   5.0769291e-03   7.8469104e-03   7.7584078e-02   1.6072970e-01   4.9465110e-02   1.7449033e-02
   7.5000000e-01   2.3401735e-03   5.0230401e-03   2.9006019e-02   1.6191344e-01   6.7325319e-02   2.3497758e-02
